"Key","File","Line","Text","Visible","English"
"setting_asoiaf_new_dnas_westerlands_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","195","Персонажи Западных земель сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи Западных земель сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Westerlands characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_reach_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","203","Персонажи Простора сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи Простора сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Reach characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_stormlands_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","211","Персонажи Штормовых земель сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи Штормовых земель сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Stormlands characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_dorne_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","219","Персонажи Дорна сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи Дорна сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Dorne characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_iron_isles_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","227","Персонажи Железных островов сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи Железных островов сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Iron Isles characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_beyond_the_wall_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","235","Персонажи за Стеной сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи за Стеной сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Beyond the Wall characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_essos_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","243","Персонажи Эссоса сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи Эссоса сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Essos characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_dragons_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","251","Драконы сохраняют #bold стандартную ДНК AGOT#!.","Драконы сохраняют  стандартную ДНК AGOT.","Dragons keep their #bold default AGOT DNA#!."
"COA_DESIGNER_CATEGORY_asoiaf","localization/russian/gui/asoiaf_coa_designer_l_russian.yml","2","AGOT+","AGOT+","AGOT+"
"asoiaf_Targaryen_10_modifier_desc","localization/russian/modifiers/asoiaf_modifiers_l_russian.yml","339","#bold Рейнис Таргариен#! была первенцем Рейгара. Она любила животных и держала собственного котёнка по имени #italic Балерион#!. В отличие от остальных в семье, она выглядела скорее дорнийкой, чем валирийкой — и это раздражало её деда, короля Эйриса II.","Рейнис Таргариен была первенцем Рейгара. Она любила животных и держала собственного котёнка по имени  Балерион. В отличие от остальных в семье, она выглядела скорее дорнийкой, чем валирийкой — и это раздражало её деда, короля Эйриса II.","#bold Rhaenys Targaryen#! was the firstborn child of Rhaegar. She was fond of animals, and had a pet kitten of her own called #italic Balerion#!. Unlike others in her family she looked more Dornish than Valyrian, something resented by her grandfather King Aerys II."
