Key,Status,Before,After,English,InCurrentEnglish,DefinedByPatch,PatchText,PreviousFile,CurrentFile
mde_dragon_eggs_events.0013.desc,changed,"Осматривая скелет дракона [meraxes.GetName], я потрясён силой драконьего пламени. Окружающая земля — сплошное стекло из расплавленного песка, по большей части тёмное и непрозрачное.\n\nНо под свежими слоями грязи стекло становится чище. Охваченный одержимостью, я ищу самый прозрачный участок.\n\nПосле часов поисков я нахожу стекло, сквозь которое пробивается золотисто-серебристое мерцание. Прикрыв находку, я возвращаюсь под покровом темноты с киркой и раскапываю сокровище: драконье яйцо!","При ближайшем осмотре скелета [meraxes.GetNamePossessive] я потрясён силой драконьего пламени. Окружающая земля — сплошное стекло из расплавленного песка, по большей части тёмное и непрозрачное.\n\nНо под свежими слоями грязи стекло становится чище. Охваченный одержимостью, я ищу самый прозрачный участок.\n\nПосле часов поисков я нахожу стекло, сквозь которое пробивается золотисто-серебристое мерцание. Прикрыв находку, я возвращаюсь под покровом темноты с киркой и раскапываю сокровище: драконье яйцо!","Upon closer inspection of [meraxes.GetNamePossessive] skeleton, I am appalled at the power of a dragon’s fire. The surrounding ground is all glass melted from the sand that was once here, most of it thick, dark, and opaque.\n\nBut I find the more I uncover from the fresher layers of dirt, the clearer the glass becomes. Vexed, I work like mad to find the clearest patch of glass I can.\n\nAfter hours of inspecting, I find glass that reveals a golden and silver shimmer. I cover it back up and return under the cover of darkness, hacking away with a pickaxe until I uncover my treasure: a dragon egg!",True,True,"Осматривая скелет дракона [meraxes.GetName], я поражаюсь силе драконьего пламени. Окружающая земля — сплошное стекло из расплавленного песка, по большей части тёмное и непрозрачное.\n\nНо под свежими слоями грязи стекло становится чище. Поддавшись одержимости, я ищу самый прозрачный участок.\n\nПосле часов поисков я нахожу стекло, сквозь которое пробивается золотисто-серебристое мерцание. Прикрыв находку, я возвращаюсь под покровом темноты с киркой и раскапываю сокровище: драконье яйцо!",localization/russian/more_dragon_eggs_events_l_russian.yml,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_dragon_no_embryo_line,added,,,,True,True,,,localization/russian/mde_artifacts_l_russian.yml
mde_dragon_no_parent_line,added,,Происхождение яйца неизвестно.,It's origins are unknown.,True,True,Происхождение этого яйца неизвестно.,,localization/russian/more_dragon_eggs_ui_l_russian.yml
mde_dragon_parent_line,added,,Это яйцо было отложено [Artifact.MakeScope.Var('dragon_parent').GetCharacter.GetName].,It was laid by [Artifact.MakeScope.Var('dragon_parent').GetCharacter.GetName].,True,True,Это яйцо отложено драконом по имени [Artifact.MakeScope.Var('dragon_parent').GetCharacter.GetName].,,localization/russian/more_dragon_eggs_ui_l_russian.yml
mde_dragon_parents_line,added,,Это яйцо было отложено [Artifact.MakeScope.Var('dragon_parent').GetCharacter.GetName] и [Artifact.MakeScope.Var('dragon_parent_other').GetCharacter.GetName].,It was laid by [Artifact.MakeScope.Var('dragon_parent').GetCharacter.GetName] and [Artifact.MakeScope.Var('dragon_parent_other').GetCharacter.GetName].,True,True,Родители этого яйца — [Artifact.MakeScope.Var('dragon_parent').GetCharacter.GetName] и [Artifact.MakeScope.Var('dragon_parent_other').GetCharacter.GetName].,,localization/russian/more_dragon_eggs_ui_l_russian.yml
mde_dragon_portrait_toggle_tt,added,,#T Портрет дракона#!\nПоказать или скрыть портрет дракона.,#T Dragon Portrait#!\nToggle dragon portrait.,True,True,#T Портрет дракона#!\nПоказать или скрыть портрет дракона.,,localization/russian/more_dragon_eggs_ui_l_russian.yml
mde_dragonkeeper_liege,added,,#V [AGOTGetName(Artifact.GetOwner)] — $head_dragonkeeper_court_position$ при дворе [AGOTGetName(Artifact.GetOwner.GetLiege)].#!,"#V [AGOTGetName(Artifact.GetOwner)], [AGOTGetName(Artifact.GetOwner.GetLiege)]'s $head_dragonkeeper_court_position$.#!",True,True,"#V [AGOTGetName(Artifact.GetOwner)], $head_dragonkeeper_court_position$ при дворе правителя [AGOTGetName(Artifact.GetOwner.GetLiege)].#!",,localization/russian/more_dragon_eggs_ui_l_russian.yml
mde_egg_msg_found_intro,added,,Слухи о поразительной находке стремительно расходятся по гаваням и рыночным площадям:\n\n,Whispers of a remarkable discovery race through the harbors and market squares:\n\n,True,True,Слухи об удивительной находке разносятся по гаваням и рыночным площадям:\n\n,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_msg_found_outro,added,,"\n\nМногие гадают, вылупится ли оно когда-нибудь и что [mde_egg_owner.GetSheHe] станет с ним делать, если это случится.","\n\nMany wonder whether it will ever hatch, and what [mde_egg_owner.GetSheHe] will do with it if it does.",True,True,"\n\nМногие гадают, вылупится ли из яйца дракон и как [mde_egg_owner.GetSheHe] тогда распорядится этой силой.",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_owner,added,,"[AGOTGetName(Artifact.GetOwner)|V][AddLocalizationIf(GetScriptedGui('mde_is_dragonkeeper').IsShown( GuiScope.SetRoot( Artifact.GetOwner.MakeScope ).End ), 'mde_dragonkeeper_liege')]","[AGOTGetName(Artifact.GetOwner)|V][AddLocalizationIf(GetScriptedGui('mde_is_dragonkeeper').IsShown( GuiScope.SetRoot( Artifact.GetOwner.MakeScope ).End ), 'mde_dragonkeeper_liege')]",True,True,"[AGOTGetName(Artifact.GetOwner)|V][AddLocalizationIf(GetScriptedGui('mde_is_dragonkeeper').IsShown( GuiScope.SetRoot( Artifact.GetOwner.MakeScope ).End ), 'mde_dragonkeeper_liege')]",,localization/russian/more_dragon_eggs_ui_l_russian.yml
mde_egg_toast_clutch,added,,"С вестями воронов и рассказами моряков слух расходится от замка к гавани: драконица отложила яйца!\n\n[dragon_parent.GetName], [dragon_parent.Custom('GetDragonColorFull')] драконица, отложила для [mde_egg_owner.GetTitledFirstName] целую кладку, в том числе [mde_toast_egg.GetName].\n\nЕсли яйца вылупятся, миру придётся бояться ещё большего числа драконов.","Word travels from keep to harbor on the wings of ravens and the tongues of sailors: a dragon has laid eggs!\n\n[dragon_parent.GetName], the [dragon_parent.Custom('GetDragonColorFull')] beast, has laid a clutch for [mde_egg_owner.GetTitledFirstName], including this [mde_toast_egg.GetName].\n\nIf they hatch, the world will have more dragons to fear.",True,True,"На крыльях воронов и в рассказах моряков от замка к гавани летит весть: дракон отложил яйца!\n\n[dragon_parent.GetName], [dragon_parent.Custom('GetDragonColorFull')] зверь, приносит кладку своему хозяину — [mde_egg_owner.GetTitledFirstName]. Среди яиц — [mde_toast_egg.GetName].\n\nЕсли они вылупятся, в мире станет больше драконов, которых следует бояться.",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_clutch_t,added,,[dragon_parent.GetNameNoTooltip] откладывает кладку,[dragon_parent.GetNameNoTooltip] Lays a Clutch,True,True,Новая кладка — [dragon_parent.GetNameNoTooltip],,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_expedition_adventure,added,,"Путники и наёмники разносят весть о дерзкой экспедиции, вернувшейся домой:\n\nЭкспедиция, снаряжённая [mde_egg_owner.GetTitledFirstName], вернулась с [mde_toast_egg.GetName].\n\nГде именно его нашли, авантюристы предпочитают не рассказывать.","Travelers and sellswords spread the news of a daring adventure come home:\n\nAn expedition funded by [mde_egg_owner.GetTitledFirstName] has returned with [mde_toast_egg.GetName].\n\nWhere it was found, the adventurers are keeping to themselves.",True,True,"Путники и наёмники разносят весть о возвращении смелых искателей приключений:\n\nЭкспедиция, средства на которую выделяет [mde_egg_owner.GetTitledFirstName], вернулась с находкой — [mde_toast_egg.GetName].\n\nО том, где удалось отыскать яйцо, участники похода предпочитают молчать.",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_expedition_t,added,,[mde_egg_owner.GetFirstNameNoTooltip] возвращается с драконьим яйцом,[mde_egg_owner.GetFirstNameNoTooltip] Returns with a Dragon Egg,True,True,Возвращение с драконьим яйцом — [mde_egg_owner.GetFirstNameNoTooltip],,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_expedition_trade,added,,"Купцы и капитаны кораблей говорят лишь об одном:\n\nТорговая экспедиция, снаряжённая [mde_egg_owner.GetTitledFirstName], вернулась из дальних земель, а среди её груза оказалось [mde_toast_egg.GetName].\n\nГоворят, никакая цена не сравнится с его истинной ценностью.","Merchants and ship captains speak of little else:\n\nA trade expedition funded by [mde_egg_owner.GetTitledFirstName] has returned from distant lands with [mde_toast_egg.GetName] among its cargo.\n\nNo price, they say, could match what it is worth.",True,True,"Купцы и капитаны кораблей говорят лишь об одном:\n\nТорговая экспедиция, средства на которую выделяет [mde_egg_owner.GetTitledFirstName], вернулась из далёких земель. Среди её грузов — [mde_toast_egg.GetName].\n\nГоворят, никакое золото не сравнится с ценностью этой находки.",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_expedition_valyria,added,,"Моряки, клянущиеся, что собственными глазами видели Дымное море, повторяют в каждой гавани одну и ту же поразительную историю:\n\n[mde_egg_owner.GetTitledFirstName] возвращается из руин Валирии с [mde_toast_egg.GetName].\n\nМало кто отправляется к Четырнадцати Огням и возвращается, а с сокровищами — и того меньше.","Sailors who swear they saw the Smoking Sea with their own eyes tell the same astonishing story in every harbor:\n\n[mde_egg_owner.GetTitledFirstName] has returned from the ruins of Valyria bearing [mde_toast_egg.GetName].\n\nFew who sail for the Fourteen Flames ever return, and fewer still return with treasure.",True,True,"Моряки, клянущиеся, что своими глазами видели Дымное море, рассказывают в каждой гавани одну и ту же удивительную историю:\n\n[mde_egg_owner.GetTitledFirstName] возвращается из руин Валирии с находкой — [mde_toast_egg.GetName].\n\nМало кто возвращается из плавания к Четырнадцати Огням, а с сокровищами — и того меньше.",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_market,added,,"Великие рынки востока гудят от разговоров:\n\n[mde_toast_egg.GetName] появилось среди товаров на рынке артефактов и ждёт покупателя, достаточно богатого, чтобы его приобрести.","Merchants in the great markets of the east are abuzz:\n\n[mde_toast_egg.GetName] has appeared among the wares of the artifact market, waiting for a buyer rich enough to claim it.",True,True,"Купцы на великих рынках востока оживлённо обсуждают новость:\n\nСреди товаров на рынке артефактов появилось [mde_toast_egg.GetName]. Оно ждёт покупателя, достаточно богатого, чтобы заполучить его.",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_market_t,added,,Драконье яйцо на продажу,A Dragon Egg for Sale,True,True,Драконье яйцо на продажу,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_other,added,,По гаваням и купеческим залам расходятся слухи:\n\n[mde_toast_egg.GetName] оказалось в руках [mde_egg_owner.GetTitledFirstName].,Rumor spreads through the harbors and merchant halls:\n\n[mde_toast_egg.GetName] has come into the hands of [mde_egg_owner.GetTitledFirstName].,True,True,По гаваням и купеческим палатам расходится слух:\n\nУ драконьего яйца [mde_toast_egg.GetName] появился новый владелец — [mde_egg_owner.GetTitledFirstName].,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_other_t,added,,Обнаружено драконье яйцо,A Dragon Egg Surfaces,True,True,Обнаружено драконье яйцо,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_dragonstone,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в пещерах Драконьего Камня.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] in the caves of Dragonstone.$mde_egg_msg_found_outro$,True,True,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в пещерах Драконьего Камня.$mde_egg_msg_found_outro$,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_hellholt,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] среди останков Мераксес в Пекле.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] among the remains of Meraxes at Hellholt.$mde_egg_msg_found_outro$,True,True,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] среди останков Мераксес в Пекле.$mde_egg_msg_found_outro$,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_isle_of_faces,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] на Острове Ликов.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] on the Isle of Faces.$mde_egg_msg_found_outro$,True,True,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] на Острове Ликов.$mde_egg_msg_found_outro$,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_old_wyk,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] у холма Нагги на Старом Вике.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] at Nagga's Hill on Old Wyk.$mde_egg_msg_found_outro$,True,True,"$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] на Холме Нагги, на Старом Вике.$mde_egg_msg_found_outro$",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_qohor_road,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] на старой дороге из Квохора в Валирию.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] along the old road from Qohor to Valyria.$mde_egg_msg_found_outro$,True,True,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] у старой дороги из Квохора в Валирию.$mde_egg_msg_found_outro$,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_red_lake,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в логове Среброкрылой у Красного озера.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] in Silverwing's lair at the Red Lake.$mde_egg_msg_found_outro$,True,True,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в логове Среброкрылой у Алого озера.$mde_egg_msg_found_outro$,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_skagos,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в логове Каннибала на Скагосе.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] in the Cannibal's lair on Skagos.$mde_egg_msg_found_outro$,True,True,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в логове Каннибала на Скагосе.$mde_egg_msg_found_outro$,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_spicetown,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] глубоко среди руин Спайстауна.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] deep in the ruins of Spicetown.$mde_egg_msg_found_outro$,True,True,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в глубине руин Спайстауна.$mde_egg_msg_found_outro$,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_summerhall,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] среди руин Летнего замка.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] in the ruins of Summerhall.$mde_egg_msg_found_outro$,True,True,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в руинах Летнего замка.$mde_egg_msg_found_outro$,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_t,added,,[mde_egg_owner.GetFirstNameNoTooltip] находит драконье яйцо!,[mde_egg_owner.GetFirstNameNoTooltip] Finds a Dragon Egg!,True,True,Находка драконьего яйца — [mde_egg_owner.GetFirstNameNoTooltip]!,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_vale,added,,"$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в пещере Огненной ведьмы, высоко в Лунных горах.$mde_egg_msg_found_outro$","$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] in the Cave of the Fire Witch, high in the Mountains of the Moon.$mde_egg_msg_found_outro$",True,True,"$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в пещере Огненной Ведьмы, высоко в Лунных горах.$mde_egg_msg_found_outro$",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_volantis,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в заброшенном валирийском лагере неподалёку от Волантиса.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] at an abandoned Valyrian camp near Volantis.$mde_egg_msg_found_outro$,True,True,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в заброшенном валирийском лагере близ Волантиса.$mde_egg_msg_found_outro$,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_pickup_winterfell,added,,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в криптах Винтерфелла.$mde_egg_msg_found_outro$,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] has found [mde_toast_egg.GetName] in the crypts of Winterfell.$mde_egg_msg_found_outro$,True,True,$mde_egg_msg_found_intro$[mde_egg_owner.GetTitledFirstName] находит [mde_toast_egg.GetName] в крипте Винтерфелла.$mde_egg_msg_found_outro$,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_restoration_spicetown,added,,"Каменщики и рабочие разносят весть из руин Спайстауна по всем портам Черноводного залива:\n\nРазбирая обгоревшие залы, рабочие, восстанавливающие город, откопали [mde_toast_egg.GetName], и теперь яйцо находится в руках [mde_egg_owner.GetTitledFirstName].\n\nПростолюдины шепчутся, что призраки Глотки наконец вернули хоть что-то.","Stonemasons and laborers carry the tale from the ruins of Spicetown to every port on Blackwater Bay:\n\nWhile clearing the burned-out halls, the workers restoring the town unearthed [mde_toast_egg.GetName], now in the hands of [mde_egg_owner.GetTitledFirstName].\n\nThe smallfolk whisper that the ghosts of the Gullet have finally given something back.",True,True,"Каменщики и рабочие разносят весть из руин Спайстауна по всем портам Черноводного залива:\n\nРасчищая выгоревшие залы, строители, восстанавливающие город, обнаружили [mde_toast_egg.GetName]. Теперь им владеет [mde_egg_owner.GetTitledFirstName].\n\nПростой люд шепчется, что призраки Глотки наконец отдали хоть что-то взамен.",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_restoration_summerhall,added,,"Каменщики и рабочие разносят весть из руин Летнего замка по всем трактирам Королевского тракта:\n\nРазбирая завалы, рабочие, восстанавливающие дворец, откопали [mde_toast_egg.GetName], и теперь яйцо находится в руках [mde_egg_owner.GetTitledFirstName].\n\nОдни называют находку благословением. Другие напоминают: из Летнего замка ещё никогда не выходило ничего доброго.","Stonemasons and laborers carry the tale from the ruins of Summerhall to every inn along the Kingsroad:\n\nWhile clearing the rubble, the workers restoring the palace unearthed [mde_toast_egg.GetName], now in the hands of [mde_egg_owner.GetTitledFirstName].\n\nSome call it a blessing. Others say nothing good ever came out of Summerhall.",True,True,"Каменщики и рабочие разносят весть из руин Летнего замка по всем трактирам вдоль Королевского тракта:\n\nРазбирая завалы, строители, восстанавливающие дворец, обнаружили [mde_toast_egg.GetName]. Теперь им владеет [mde_egg_owner.GetTitledFirstName].\n\nОдни называют находку благословением. Другие говорят, что из Летнего замка никогда не приходило ничего доброго.",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_restoration_t,added,,Драконье яйцо под обломками,A Dragon Egg Beneath the Rubble,True,True,Драконье яйцо под обломками,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_secret_hightower,added,,"Сплетни расходятся из залов Староместа по всем уголкам державы:\n\nДом Хайтауэров долго скрывал драконье яйцо, но теперь [mde_egg_owner.GetTitledFirstName] являет миру [mde_toast_egg.GetName].\n\nПоговаривают, что мейстеры Цитадели крайне недовольны.","Gossip spreads from the halls of Oldtown to every corner of the realm:\n\nHouse Hightower has long hidden a dragon egg, and [mde_egg_owner.GetTitledFirstName] has now brought [mde_toast_egg.GetName] out into the light.\n\nThe maesters of the Citadel are said to be most displeased.",True,True,"Из чертогов Староместа слухи расходятся по всему королевству:\n\nДом Хайтауэров долго скрывал драконье яйцо. Теперь [mde_egg_owner.GetTitledFirstName] являет миру семейную тайну — [mde_toast_egg.GetName].\n\nГоворят, мейстеры Цитадели крайне недовольны.",,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_egg_toast_secret_t,added,,Скрытое яйцо Хайтауэров,The Hightower's Hidden Egg,True,True,Тайное яйцо Хайтауэров,,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_kingsguard_white_book_tt,added,,#T Белая книга#!\nОткрыть Белую книгу Королевской гвардии.,#T The White Book#!\nOpen the White Book of the Kingsguard.,True,True,#T Белая книга#!\nОткрыть Белую книгу Королевской гвардии.,,localization/russian/more_dragon_eggs_ui_l_russian.yml
mde_lineage_and_embryo,added,,[Artifact.Custom('mde_dragon_parent_localization')] [Artifact.Custom('mde_dragon_embryo_line')],[Artifact.Custom('mde_dragon_parent_localization')] [Artifact.Custom('mde_dragon_embryo_line')],True,True,[Artifact.Custom('mde_dragon_parent_localization')] [Artifact.Custom('mde_dragon_embryo_line')],,localization/russian/mde_artifacts_l_russian.yml
mde_menu_events.0001.a,removed,Закрыть,,,False,False,,localization/russian/more_dragon_eggs_ui_l_russian.yml,
mde_menu_events.0001.desc,removed,,,,False,False,,localization/russian/more_dragon_eggs_ui_l_russian.yml,
mde_menu_events.0001.t,removed,Настройка кнопок,,,False,False,,localization/russian/more_dragon_eggs_ui_l_russian.yml,
mde_menu_events.0002.desc,removed,,,,False,False,,localization/russian/more_dragon_eggs_ui_l_russian.yml,
mde_menu_events.0003.desc,removed,,,,False,False,,localization/russian/more_dragon_eggs_ui_l_russian.yml,
mde_menu_events.0004.a,removed,Закрыть,,,False,False,,localization/russian/more_dragon_eggs_ui_l_russian.yml,
mde_menu_events.0004.desc,removed,,,,False,False,,localization/russian/more_dragon_eggs_ui_l_russian.yml,
mde_menu_events.0004.t,removed,Настройка кнопок,,,False,False,,localization/russian/more_dragon_eggs_ui_l_russian.yml,
mde_this_dragon_will_hatch_this,removed,#color_dark_gray [Artifact.Custom('mde_this_dragon_will_hatch')] #!,,,False,False,,localization/russian/mde_demand_egg_events_l_russian.yml,
meleys_desc,added,,Мелеис,Meleys,True,True,Мелеис,,localization/russian/mde_artifacts_l_russian.yml
menu_button_manager_text,added,,Показать или скрыть кнопку меню,Toggle Menu Button,True,True,Показать или скрыть кнопку меню,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_menu_host_only,added,,"@warning_icon! #X Игра идёт в мультиплеере, и вы не хост!#!",@warning_icon! #X The game is in multiplayer and you are not the host!#!,True,True,@warning_icon! #X Изменять эти настройки в сетевой игре может только её организатор!#!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_can_children_be_landless,added,,Могут ли дети стать безземельными авантюристами,Can Children Become Landless Adventurers,True,True,Дети могут становиться безземельными авантюристами,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_can_hatch_multiple_dragons,added,,Выведение нескольких драконов за церемонию,Hatch Multiple Eggs In A Ceremony,True,True,Выведение нескольких драконов за одну церемонию,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_can_landless_steal,added,,Кражи безземельных авантюристов,Landless Adventurer Stealing,True,True,Кражи безземельных авантюристов,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_cannibal_instinct_odds,added,,Вероятность события «Инстинкт Каннибала»,Cannibal Instinct Event Odds,True,True,Вероятность события об инстинкте каннибала,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_canon_dragon_egg_hatch_likelihood,added,,Вероятность вылупления канонических драконов из яиц,Canon Dragon Egg Hatching Likelihood,True,True,Вероятность вылупления канонических драконов,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_capture_dragon_time_limit,added,,Срок поимки дракона,Capture Dragon Time Limit,True,True,Срок поимки дракона,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_cradle_hatch_likelihood_ai,added,,Вероятность вылупления яиц в колыбели: ИИ,AI Cradled Egg Hatching,True,True,Вылупление вынашиваемых яиц — ИИ,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_cradle_hatch_likelihood_player,added,,Вероятность вылупления яиц в колыбели: игрок,Player Cradled Egg Hatching Likelihood,True,True,Вылупление вынашиваемых яиц — игрок,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_dragon_egg_clutch_frequency,added,,Частота кладок у драконов игрока,Player Owned Dragon Egg Clutch Frequency,True,True,Частота кладок драконов игрока,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_dragon_egg_clutch_frequency_ai,added,,Частота кладок у драконов ИИ,AI Owned Dragon Egg Clutch Frequency,True,True,Частота кладок драконов ИИ,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_dragon_egg_clutch_size,added,,Размер кладки драконьих яиц,Dragon Egg Clutch Size,True,True,Количество яиц в кладке,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_dragon_egg_spawn_likelihood_ai,added,,Появление драконьих яиц на карте для ИИ,AI Dragon Egg Map Spawn,True,True,Находки драконьих яиц на карте — ИИ,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_dragon_egg_spawn_likelihood_player,added,,Появление драконьих яиц на карте для игрока,Player Dragon Egg Map Spawn,True,True,Находки драконьих яиц на карте — игрок,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_dragon_gene_frequency,added,,Частота генетических черт драконов,Dragon Genetic Trait Frequency,True,True,Частота наследственных свойств драконов,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_dragon_gene_frequency_naughty_or_nice,added,,Применение частоты генетических черт драконов,Dragon Genetic Trait Frequency Application,True,True,Применение частоты наследственных свойств драконов,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_dragon_hatching_success_chance,added,,Шанс успешного выведения дракона,Dragon Hatching Success Chance,True,True,Вероятность успешного выведения дракона,,localization/russian/more_dragon_eggs_ui_l_russian.yml
menu_rule_extant_hatching_ceremonies,added,,Церемонии выведения всегда доступны,Are Hatching Ceremonies Always Available,True,True,Доступность церемоний при живых драконах,,localization/russian/more_dragon_eggs_ui_l_russian.yml
